main_place,meeting_point,latitude,longitude,date,url
Poncillon,ferme,49.033809661865234,6.320624828338623, novembre 2020,""
Gravelotte,chemin de la mémoire,49.118764675185915,6.052289702514498,14 février 2021,""
Mont Saint Pierre,sommet,49.056642961929654,6.442677494066981,28 mars 2021,mont_saint_pierre.html
Metz,les ruines du Pontiffroy à Metz,49.12461280029823,6.1776230172956,18 avril 2021,""
Magny,long de la Seille,49.07754411010524,6.1775770596877555,16 mai 2021,""
Châtel Saint Germain,ruines,49.12730893279688,6.07463476352303,6 juin 2021,""
Hêtre des batailles,parking moto-cross,49.12167475054049,6.063014504129335,15 mai 2022,""
Arnaville,Rupt de Mad, 49.01020927418873, 6.031929611104216,19 juin 2022,""
Bucher Plapeville,devant l'église Sainte Brigide, 49.12774961469644,6.1247391930989465,21mai 2023,""
Champey Moselle tgv,parking qui se situe chemin du gué des fondières,48.95398589496389,6.056876634045868,2 juillet 2023,""